,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,29,36,26,31,24,6,4,13,12,16,19,32,30,11,33,38,28,17,9,20,27,3,2,35,22,23,8,18,7,5,37,25,15,39,0,21,14,1,34,10
1,13,19,17,39,0,18,8,37,1,2,3,21,16,14,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
2,13,19,17,39,0,18,8,37,1,2,3,21,16,14,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
3,13,19,17,14,1,2,3,21,16,39,0,18,8,37,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
4,13,19,17,14,1,2,3,21,16,39,0,18,8,37,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
5,13,19,17,37,8,18,0,39,1,2,3,21,16,14,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
6,13,19,17,37,8,18,0,39,1,2,3,21,16,14,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
7,13,19,17,37,8,18,0,39,1,2,3,21,16,14,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
8,13,19,17,14,16,21,3,2,1,24,29,11,33,34,27,23,10,9,35,15,26,31,38,20,36,12,32,5,7,6,28,30,22,4,25,37,8,18,0,39
9,13,19,17,14,16,21,3,2,1,39,0,18,8,37,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
10,13,19,17,14,16,21,3,2,1,39,0,18,8,37,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
11,13,19,17,14,16,21,3,2,1,39,0,18,8,37,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
12,13,19,17,14,16,21,3,2,1,39,0,18,8,37,25,4,22,30,28,6,7,5,32,12,36,20,38,31,26,15,35,9,10,23,27,34,33,11,29,24
13,13,19,17,14,16,21,3,2,1,39,0,18,8,37,25,20,36,12,32,5,7,6,28,30,22,4,38,31,26,15,35,9,10,23,27,34,33,11,29,24
14,10,23,27,34,33,11,29,5,7,6,28,30,22,4,25,37,8,18,0,39,1,2,3,21,16,14,17,19,13,24,32,12,36,20,38,31,26,15,35,9
15,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,11,19,24,6,4,22,35,15,28,31,29,36,26,39,30,5,32,16,18,7,13,12
16,20,21,1,18,31,26,9,17,14,0,39,37,8,23,25,11,19,24,29,2,22,4,35,15,28,6,3,38,33,34,27,10,36,5,7,32,30,16,13,12
17,20,21,1,18,31,26,9,17,14,0,39,37,8,23,25,11,19,24,29,2,22,4,35,15,28,6,3,38,33,34,27,10,36,5,7,32,30,16,13,12
18,20,21,1,18,31,26,9,17,14,0,39,37,8,23,25,11,19,24,29,2,22,4,35,15,28,6,3,38,33,34,27,10,36,5,7,32,30,16,13,12
19,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,15,35,22,4,6,24,19,11,17,14,1,28,31,29,36,26,39,30,32,5,16,18,7,13,12
20,5,37,8,23,22,35,11,0,10,2,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
21,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,11,19,24,6,4,22,35,15,28,31,29,36,26,39,30,32,5,16,18,7,13,12
22,5,37,8,23,22,35,11,0,10,2,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
23,5,37,8,23,22,35,11,0,10,2,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
24,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,11,19,24,6,4,22,35,15,28,31,29,36,26,39,30,32,5,16,18,7,13,12
25,5,37,8,23,22,35,11,0,10,2,31,26,36,7,18,16,12,3,27,39,30,14,21,33,9,20,15,25,1,29,34,24,6,4,13,19,32,38,28,17
26,5,37,8,23,22,35,11,0,10,2,31,26,36,7,18,16,12,3,27,39,30,14,21,33,9,20,15,25,1,29,34,24,6,4,13,19,32,38,28,17
27,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
28,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,11,19,24,6,4,22,35,15,28,31,29,36,26,39,30,32,5,16,18,7,13,12
29,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
30,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
31,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
32,25,37,8,23,34,27,20,5,32,30,39,26,36,29,31,11,19,24,6,4,22,35,15,28,17,14,1,21,33,9,3,2,10,0,38,16,18,7,13,12
33,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
34,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
35,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
36,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
37,25,37,8,23,34,27,20,5,32,30,39,26,36,29,31,11,19,24,6,4,22,35,15,28,17,14,1,21,33,9,3,2,10,0,38,16,18,7,13,12
38,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,19,13,4,6,24,34,29,1,25,15,39,30,32,38,28,17
39,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
40,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,30,39,15,25,1,29,34,24,6,4,13,19,32,38,28,17
41,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,19,13,4,6,24,34,29,1,25,15,39,30,32,38,28,17
42,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,28,15,35,22,4,6,24,19,11,31,29,36,26,39,30,32,5,16,18,7,13,12
